V080001,V085120,V085120a,V085121,V085121a,V085122,V085122a,V085123,V085123a
53,,-2,,-2,,-2,,-2
54, I don't know ,1, vice president ,5, I don't know ,5, I don't know ,5
55, speaker of the house ,5, vice president ,5, don't know ,5, don't know ,5
56, she's from arizona ,1, vice president ,5, senate ,1, congressman ,1
57, senator ,1, congress ,5, senator ,5, mayor ,5
58,,-2,,-2,,-2,,-2
59, don't know ,1, don't know ,1, dn't know ,1, don't know ,5
60, speaker of the house ,1, vice president ,1, I don't know ,1, don't know ,1
61, don't know ,5, vice president ,1, don't know ,5, I'm not  familiar ,5
62, dont know ,1, vice bpresident ,1, don't know ,1, do't know ,5
63, don't know ,1, vice president ,1, don't know ,1, I don't know ,5
64, Senator ,5, Senator ,5, Senator ,1, Senator ,1
65, speaker of the house ,5, vice president ,5, school board ,5, environmental policy ,1
66, majority leader ,5, vice president ,5, prime minister of britain ,5, president of canada ,1
67, speaker of the house ,5, vice president ,5," can't guess i'm sorry, i don't remember ",1, don't know ,1
68, majority leader of house of reps ,5, vice president ,5, prime minister of england ,5, supreme court justice ,5
69, congresswoman from california and the speaker of the house ,5, vice president ,5, draw a complete blank ,1, us supreme court justice ,5
70,,-2,,-2,,-2,,-2
71, speaker of the house ,5, vice president ,5, i can't rememe\ber ,1, i can't remember ,1
72, speaker of the house ,5, vice president ,5, house committee supervisor ,1, house of representatives ,5
73, i do not know ,1, i don't know what to guess ,1, i don't know ,1, i don't know that either ,1
74," i m not sure, i don't want to guess ",1, i just can't remember today ,1, don't know ,5, don't know ,5
75, i have no idea ,1, vice president ,1," i don't know but i can guess, house/senate ",1," no guess, no idea ",1
76, speaker of the house ,5, vice president ,5, chancellor ,1, supreme court ,1
77, congress woman from san francisco and also speaker of the house ,5, vice president ,5, prime minister of united kingdom ,5, president of australia ,5
78, speaker of the house ,5, vice president ,5, supreme court ,5, chief of staff ,1
79, secretary of the senate ,5, senator ,5, congressman ,1, senator ,5
80, speaker of the house ,5, vice president ,5, house minority leadeer ,1, senator or something ,5
81, speaker of the house ,1, vice president ,1, dk//chief of staff ,1, senator ,1
82, speaker of the house ,1, vice president ,1, senator ,1, senator ,1
83, Head of House of Rep -  ,1," forgot what he's done, foreign affairs  ",1, //doesn't ring a bell ,1, doesn't ring a bell// i don't know ,1
84,,-2,,-2,,-2,,-2
85," majority leader in congress, democrat ",1, vice president ,1," don't know//never heard of him, can't guess ",1, don't know//never heard of him ,1
86, dk//i have no idea ,1, somewhere in the congress dk what he does ,1, dk//i have no idea ,1, dk him either//I have no idea ,1
87, secretary of state ,1, vice pres ,1, don't know ,1, don't know// don't know ,1
88, don't remember// supreme court justice ,1, secty of defense ,1, atty general ,1, supreme court justice ,1
89, SECRETARY OF STATE ,1, FOREIGN POLICY ,1, SENATOR ,1, SENATOR ,1
90, dk//dk her nor the jobs they have ,1, I know the name but I dk//dk ,1, dk//dk ,1, dk//dk ,1
91,,-2,,-2,,-2,,-2
92, dk//someone in the senate ,1, vice president  ,1, dk//governor ,1, dk//governor ,1
93, can't recall // senator  ,1, vice president ,1, dk// congressman ,1, dk//congressman ,1
94, dk//governor ,1, dk//dk ,1, dk//dk ,1," dk, never heard of him//dk ",1
95, no answer// i'm not sure honestly ,1, governor ,1," i can not answer that//i couldn't guess, dk ",1, i couldn't tell you//i couldn't tell you honestly ,1
96, house of representative member ,1, something in the government ,1, something having to do w/ the senate ,1, something having to do w/ govt ,1
97,,-2,,-2,,-2,,-2
98, I don't know ,1, Vice President ,1, senator ,1, senator ,1
99, speaker of teh house ,1, vice president ,1, dk//us rep ,1, supreme ct justice ,1
100,,-2,,-2,,-2,,-2
101, congresswoman ,1, vice president ,1," don't know - doesn't ring a bell// sounds familiar but I DK,part of the cabinet ",1, don't know ,1
102,,-2,,-2,,-2,,-2
103, i don't know ,1, I don't know ,1, i don't know ,1, I don'yt know ,1
104, speaker of the house ,1, vice president ,1, prime minister of England ,1, head Supreme court justice  ,1
105, dk//who is she? I dk ,1, <RF> ,1, <RF> ,1, <RF> ,1
106, speaker of the house ,1, vice president ,1," dk//no, dk ",1, dk//embassador ,1
107, congress ,1, vice president ,5, senate ,1, senator ,1
108, house of representatives ,5, vice president ,5, senator ,5, senator ,5
109, she is a /i would say finance/ R really didnt know ,1, /vice president/ ,1, small business organization ,1, /he is a - really dosnt know/   ,1
110, speaker of the house ,5, vice president ,5, advisor to prsident ,1, congressman ,1
111, mayor ,1, congress man ,1, secretary ,1, army ,1
112, democratic ,1, republican ,5, demoncratic ,5, democratic ,5
113, /district of congress/? really didnt know ,1, white house-/congress/ ,1, /white house/ i guess ,1, senator ,1
114, R dosent know at all/i really cant even guess or know what to say/ ,1, /representative/ ,1, Really dosnt know/representative/ ,1, Really dosnt know-cant even guess/ ,1
115, R has no no idea//republican-guess// ,1, //R has no idea at all// ,1, //no idea at all//  ,1, candidate ,5
116, speaker of the house ,5, vice president ,5, former director of FEMA ,1, attorney general? ,1
117, R said nothing comes to her mind-cant even guess. ,1, vice president ,1, house of representatives ,1, congress ,1
118, secretary of something ,5, vice president ,5," i don't know him, // don';t know ",1, i don't know him// i hope he's a right choice for whatever he does ,1
119, R said its on the tip of his tough but cant think of her job. ,1, vice president ,1, just cant guess ,1, just dose not know ,1
120, haven't heard about her ,1, vice pres ,5, haven't heard about him  ,1, // is he a senator or what? ,1
121, speaker of the house ,5, vice prsident ,5, i don't know//i never heard the name ,1, i have the faintest idea//is he a congress or in the senate//i don't know ,1
122, speaker of the house ,5, vice president ,5, congressman ,1, secretary of homeland security? ,5
123, i have no idea//i have no clue ,1, vp? ,5," i have no idea//i don't know, never heard of him ",1, i have never heard of him//i don't even want to try ,1
124, speaker of the house of representatives ,5, vice president ,5, secretary of treasury ,1, secretary of defense ,5
125, house of representatives ,5, vice president ,5, don't know//congressw ,1, not sure//congress ,1
126, speaker of the house ,5, vice president ,5, don't know ,1, supreme court justice ,5
127, press secty ,1, vice president ,1, no idea ,1, no guess ,1
128, no idea ,1, senator ,5, no idea ,1, no idea ,1
129, speaker of the house ,1, vice president ,1, don't know and don't care ,1, no guess ,1
130, senator ,5, vice president ,5, senator ,1, ,5
131, speaker of the house ,5, vice president ,5, prime minister of English ,5, supreme court justice ,1
132, senate ,5, vice president ,5, prime minister of england ,1, supreme court ,5
133, don't have any idea ,1, vice president ,5, no idea ,1, no idea ,1
134, no guess at all ,1, vice president ,5, don't know ,1, no idea ,1
135, no idea ,1, vice president ,5, speaker of the house ,1, no idea ,1
136,,-2,,-2,,-2,,-2
137, speaker of the house ,5, vice president ,1, never heard of the guy. ,5, i can't give you an educated guess. never heard of the guy. ,1
138, not even heard of her ,1, vice president ,5, no idea ,1, no idea ,1
139, speaker of the house ,5, vice president ,5, prime minister of great britain ,5, supreme court cheif justice ,5
140,,-2,,-2,,-2,,-2
141, speaker of the house. ,5, vice president ,5, prime minister of england ,5, prime minister of australia ,1
142,,-2,,-2,,-2,,-2
143,,-2,,-2,,-2,,-2
144, speaker of the house ,5, vice president ,5, senator ,5, australian prime minister ,5
145, secty of something ,1, vice president ,5, no guess ,1, no clue ,1
146, speaker of the house ,5, vice president ,5, prime minister of england ,5, don't know no guess ,1
147, speaker of the house ,5, vice president ,5, president's press secty ,1, senator ,5
148, speaker of the house ,5, vice president ,5, sect of the treasury ,1, president of Uganda ,1
149, no guess  ,1, senate ,1, no guess at all ,1, never heard of him ,1
150, speaker of the house ,5, vice president ,5, prime minister of england ,5, us supreme court justice ,5
151, speaker of the house ,5, vice president ,5, prime minister of england ,5, u.s. supreme court justice ,5
152, speaker of the house ,5, v president ,5, prime minister of england ,5, us supreme court justice ,5
153, speaker of the house ,5, vice president ,5, prime minister of england ,5, supreme court justice ,1
154,,-2,,-2,,-2,,-2
155, senate ,1, mayor ,1, chairman ,5, no idea ,1
156, speaker of the house ,5, vice president ,5, military ,5, lawyer ,1
157, senator ,1, vice president ,5, congressman ,5, senator ,5
158, speaker of the house - congresswoman ,5, vice president ,5, he's a congressman ,1, state official ,1
159,,-2,,-2,,-2,,-2
160, senentor ,1, vise-president ,1, congress man ,1, congressman ,1
161, don't know// ,1, don't know// ,1, don't know// ,1, don't know// ,1
162, don't know//i don't know ,1, isn't he gop leader? ,5, don't know//don't have one ,1," i think he is a senator, isn't he? ",5
163, dont know ,1, dont know ,1, dont know ,1, dont know ,1
164, don't know ,1, don't know ,1, don't know ,1, don't know ,1
165, don't know//dk ,1, vice president ,5, don't know//dk ,1, don't know//tv financial offider ,1
166, senate ,5, vice president ,5, house of representatives ,1, senate ,5
167, <RF> ,1," he's behind the president some where, somewhere in the congree i think ",1, don't know who he is ,5," is he in education? sounds like he is in education, or in the police officer things, or the courts ",5
168, dk ,5, dk ,5, dk ,5, dk ,5
169, dk ,5, dk ,5, dk ,5, dk ,5
170, dk  ,5, dk ,5, dk ,5, dk ,5
171, dk ,5, senator ,1, dk ,1, dk ,5
172, don't know ,5, don't know ,5, don't know ,5, don't know ,5
173, canada governor ,5, dk ,1, dk ,1, dk ,1
174, treasury or scretary ,5, vice president ,5, don't know//dk ,1, don't know//not suoreme court/dk/no ,1
175," speaker of the house,democrat ",5," vice president, republican ",5," don't know//majority leader,repulican?// ",1, politican figure?//dk// ,1
176, speaker of the house ,5, vice president ,5, don't know//dk ,1, supreme court justice ,5
177, speaker of the house ,5, vice president ,5, don't know//no idea ,1, don't know//dk ,1
178, don't know//speaker of the house ,1, vice president ,5, don't know//dk ,1, don't know//dk ,1
179, speaker of the house ,5, vice president ,5, prime minister of great britian ,5, chielf justice of supreme court ,5
180, speaker of the house ,5, vice president ,5, dont know//dk ,1, don't know//dk ,1
181, speaker of the house ,5, vice president ,5, don't know//dk ,1, supreme court ,5
182," gavel in her hand, speaker of the house ",5, vice president ,5, don't know//congressman ,1, don't know//dk ,1
183, isn't she the head of the senate for the democratic party? the democratic leader of the congress? ,5," vice president,(darth vader?) ",5," its so familiar, don't know, //don't know, have no idea ",1," sounds like a democrat, don't know what he does//he is  a democrat in congress or the senate ",1
184, i don't even know who that is//i don't know  ,1, i don't know//isn't he like vice president or something? ,1, i don't know//i don't even know who that is ,1," i don't even know who that is//i couldn't say , don't know who he is ",1
185," don't know,// house of rep // wait , is she the speaker of the house?  yes i think she is speaker of the house of rep ",1, vice pres ,5," dont' know,// maybe a senator ",1, don't know// maybe a rep ,1
186,  iremember the name nancy but i don't remember what she holds// ,1," i think he , omy goodness, vice president i think, i'm embarrassed ",5," i don't know//governor, idon't know ",1," i don't know,// senator, i'm just guessing ",1
187, <RF> ,5, i don't know// don't know ,1, <RF> ,5, <RF> ,5
188, speaker of the house ,5, vice president ,5, representative ,5, supreme court judge ,5
189, head person in congres ,5, vice prcident ,5, dk ,5, dk ,5
190," i don't know//haven't heard the name, don't know ",1," don't know exactly, something in the govt, dont' know exactly//don't know ",1," don't know, never even heard the name//i wouldn't know, something in the govt ",1," don't know, //don't know ",1
191,,-2,,-2,,-2,,-2
192, speaker of the house ,5, vice president ,5, dk ,5, dk ,5
193, press secretary   ,1, vice president ,5, don't know ,1, secretary of defense ,5
194, r said nothing comes to mind. ,1, representative ,1, being silly-dog catcher(really just couldnt guess.  ,1, just dosent know ,1
195, governor ,1, vice president ,5, supreme courtjudge ,5, senator ,5
196, specker of the house ,5, vice precident ,5, dk ,5, dk ,5
197, dk ,5, political office ,5, politics ,5, millitary ,5
198," head of the house of representatives, party leader of the house ",5, vice president ,5," don't know//maybe he is a local person, don't know of him on the national level ",1," isn't he a supreme court judge, isn't he? ",5
199, senate ,1, vice president ,5, congress ,1, governor ,5
200, speaker of the House ,5, Vice President of US ,1, Supreme Court ,5, Supreme Court Justice ,1
201, democratic//dk//democratic office ,1, republican//democratic ,1, republican office//no ,1, republican office//a good one ,1
202, speaker of the house ,5, vie president ,5, dk ,1, justice area ,1
203, i don't know//speaker of the house ,1, absentee vice president ,5," no clue//superintendent of schools, mayor of somewhere ",1, don't know//religious something ,1
204, democratic head of the house of senate/speak of the house ,5, vice president of republican party ,5, dk//congressman ,1, dk//congressman ,1
205, speaker of the house ,1, vice president ,5, prime minister of england ,5, supreme court justice ,5
206, d/k// ,1, d/k//no ,1, d/k//no ,1, d/k//no ,1
207, dk ,1, vice pres ,5, dk ,1, representative ,1
208, dk//dk ,1, vice president ,5, dk//dk ,1, dk//dk ,1
209, speaker of the house ,5, vice president ,5, congressman ,1, congressman ,1
210, //dk ,1, vice president ,5, dk//dk ,1, dk//dk ,1
211, shes a 3rd in line for presidentspeaker ,5, vice president ,5, dk ,1, head of the supreme court ,5
212,,-2,,-2,,-2,,-2
213, u.s.treasure ,5, dont know ,1, dont know ,1, dont know ,1
214, i don't know//don't know ,1, don't know//nothing ,1, don't know//don't know ,1, don't know//nothing ,1
215, he can't remember//no ,1, encharge of department of arms militars// ,1, d/k// ,1," white house,  democrat lider//no ",1
216, dont know ,1, dont know ,1, dont know   ,1, dont know ,1
217,,-2,,-2,,-2,,-2
218, Don't know at all. ,1, Vice President ,1, No clue. ,1, No clue. ,1
219," i don't know her//i couldn't tell you, never heard her name ",1, i don't know//representative ,1, i don't know him//congress ,1, us senate ,5
220, dk// republican// dk ,1, dk//dk// I think Congress// dk ,1, dk//dk//No ,1, dk//dk ,1
221, dont know ,1, no ideal ,1, dont know him ,1, dont know  ,1
222, NO IDEA//NO ,1, VICE PRESIDENT// ,1, NO IDEA// ,1, DO NOT REMEMBER// ,1
223," honestly i don't know//first time i've heard her name//nothing, she is probably in govt ",1, i think dick cheney is vice president with bush ,5, honestly i don't know// never heard his name ,1, republican//i can't think ,1
224,,-2,,-2,,-2,,-2
225, Speaker of the House ,5, Vice President ,5, dk//dk//no ,1, Supreme Court Justice ,5
226, dk//dk ,1, dk//the miltary ,1, dk//dk ,1, dk//dk ,1
227,,-2,,-2,,-2,,-2
228, Congress// ,1, he is the vice president/ ,1, congress d/k// ,1, congress// ,1
229, dk// ,1, d/k// ,1, d/k// ,1, she doen/'t know nothing abour politics// ,1
230, house of rep/speaker of the house ,5, vice president ,5, governor ,5, senator ,1
231, D/K//NO ,1, DK//NO ,1, DK//NO ,1,1,1
232, SHE IS THE HEAD SENATE// ,1, VICE PRESIDENT// ,1, CONGRESMAN ,1, CITY COUNSUL ,1
233, house ,5, vice president ,5, dk ,1, senator ,5
234, speaker ,5, vice president ,5, obama selected him as attorney general ,1, dk ,1
235,,-2,,-2,,-2,,-2
236, Speker of the House ,5, Vice President ,5, Prime Minister of Grat Britian ,5, Chief jUSTICE OF THE sUPREMEM cOIURT ,5
237, congressman ,5, vice president ,5," don't know him,//prob. a congressman ",1, don't know//congressman ,1
238," i don't know//gosh, who knows, maybe she's a senator, or something, i don't know ",1, vice president ,5," sounds so familiar, don't know, i'm thinking governor, but not sure why, my life is school ",5," don't know, again i'm thinking senator ",5
239, speaker of the house ,5, Vice President ,5, dk//dk ,1, dk//dk ,1
240, speaker of the House ,5, Vice President ,5, Dk//Senator dk//  ,1, Senatate// ,1
241, dk// A congress woman ,1, dk// vice President ,1, dk// camident members ,1, dk//Senator ,1
242, speaker of thye House ,5, vice President ,5, //Economic Advisor ,1, dk//dk ,1
243, speaker of the hOUSE  ,5, VICE PRESIDENT ,5, pRIME mINISTER OF eNGLAND ,5, cHIEF jUSTICE OF sUPREME cOURT ,5
244,,-2,,-2,,-2,,-2
245, dK// DK ,1, sECRETARY OF dEFENSE ,1, DK// DK ,1, nOT SURE// DK ,1
246, Speaker of the House ,5, Vice President of US ,5, dk//no ,1, dk//dk//no ,1
247, HOUSE Speaker ,1, Vice Presiedent ,5, Dk/ dk ,1, Dk//dk ,1
248, Speaker of the House ,1, Vice President ,5, dk// dk ,1, dk//dk ,1
249, sPEAKER O hOUSE ,5, vICE pESIDENT ,5, DK//DK ,1, DK//DK ,1
250, dk//dk ,1, Vice President ,5, dk//dk ,1, dk//dk ,1
251,,-2,,-2,,-2,,-2
252, secretary ,1, republican ,1, democrat ,1, nothing comes to mind ,1
253, speaker of the house ,5, vice president us  ,5, dont know ,1, supreme court justice ,1
254, never heard of her ,1, senater ,1, never heard of him ,1, state congress man ,1
255, speaker of the house ,5, vice president ,5, no idea at all ,1," i cant think what his job is, probe guess ",1
256, CALIFORNIA SOMETHING ,1, VICE PRESIDENT ,1, NO IDEA ,1," NOT SURE, DONT RECOGNIZE ",1
257, speaker of the house ,5, vice president ,5, prime minister of UK ,5, congressman ,1
258, speaker of the house ,5, vice president ,5," dont know, attorney general for CA ",5," dont know, senate from what state I dont know ",1
259, no idea ,5, vice president ,5, no idea ,5, no idea ,5
260," IM NOT SURE, WOULDNT EVE N KNOW ",1, NOT SURE NOT POSITIVE HEARD OF HIM ,1, SECRETARY ,5, NOT SURE GOVERNOR?Z ,1
261, speaker of the hpouse ,5, vice president ,5, house of representatives ,5, house of representatives ,5
262,,-2,,-2,,-2,,-2
263, I dont' know no guess ,5, i cant remember that ,1, no guess i dont knpow thaqt person ,1, congressman ,1
264, congress ,5, republican ,5, senate ,1, democrat ,1
265, I DON'T KNOW QAND DONT WANT TO GUESS ,1, VICE PRESIDENT ,5, I HAVE NO IDEA ,1, NO GUESS ,1
266, DEMOCRAT ,5, FOUR STAR ,1," NO GUESS, A DEMOCRAT ",1, NO GUESS ,1
267," I'm not soure, cant guess ",5, he is vice president ,1," i dont know, no guess ",5," i dont know, i think he is , no  ",5
268," asked someone else, said speaker of the house ",1, vice president ,1, dont know who he is ,1, wont guess ,5
269,,-2,,-2,,-2,,-2
270," representative, speaker, in charge of something ",5, vice president ,1," i dont know him, no guess ",5," i have no idea, no guess ",1
271, dont know ,1, vice president ,5, i dont know ,5, dont know ,5
272, dont know  ,1, vice president ,5, dont know ,5, supreme court justice--head justice ,5
273, <RF> ,1, dont know h ,5, dont know ,5, <RF> ,1
274, house of representatives ,5, vice president ,5, congress ,1, congress ,1
275, house of representatives majority leader ,5, vice president of the evil empire ,5, prime minister of england ,5, advisor to somebody or else he is an evangelical preacher ,5
276, majority leader of the us house of representatives ,5, vice president of the us ,5, prime minister of england ,5, us senator ,1
277, senator ,5, vice president ,5, prime minister of the UK ,5, <RF> ,5
278, senator ,1, vice president ,5, mayor ,5, senator ,1
279, speaker of the house    from california ,5, vice president currently of the united states ,5, pm of great britain ,5, supreme court judge ,5
280, mayor ,1, governor ,1, congressman ,5, congressman ,1
281, in congress ,5, vice president ,5, i never heard of his name  financial advisor ,1, never heard of him either financial ,1
282, speaker of the house ,5, vice president ,5, never heard of him senator ,1, representative ,1
283, speaker of the house ,5, vice president unfortunately ,5, washington politician ,1, supreme court chief justice ,5
284, congress woman ,1, vice president ,5, treasury ,1, treasury ,1
285,,-2,,-2,,-2,,-2
286, house of representatives ,1, congress ,1, congress ,1, house of representatives ,5
287, speaker of the house ,5, vice president of the US ,5, prime minister of the united kingdom ,5, chief justice of the united states ,5
288, speaker of the house ,5, vice president ,5, senator maybe ,5, senator ,5
289, speaker of the house ,5, vice president ,5, prime minister of the UK ,5, prime minister of canada ,1
290,,-2,,-2,,-2,,-2
291, speaker of the house ,5, vice president ,5, financial consultant ,1, secretary treasurer ,1
292, something for california  senator ,1, house of representatives ,1, governor ,1, governor ,1
293, head of the house of representatives ,5, vice president ,5, english prime minister ,1, director of the cia ,1
294, speaker of the house ,5, vice president ,5, congress ,1, supreme court justice ,5
295,,-2,,-2,,-2,,-2
296, I don't know// House of representative ,1, vice president ,1, I don't know// no ,1, i don't know// senator ,1
297,,-2,,-2,,-2,,-2
298, I don't know ,1, i don't know ,1, i don't know ,1, i don't know ,1
299, i don't know// no ,1, vice president ,1, I don't know// no ,1, I don't know// no guess ,1
300, she has alot of pull house speaker ,1, secretary of state ,1, I don't know much about him ,1, I don't know him ,1
301, I don't know ,1, vice president ,1, i don't know him ,1, i don't know ,1
302, head of house of representatives ,1, vice president ,1, I don't know ,1, I don't know who's roberts ,1
303, I know the name but i don't know ,1, vice president ,1, i have no idea who that is ,1, i don't know who that is ,1
304," i all not even sure, no ",1, vice president ,1," I don't know, no guess ",1," i have no clue, no  ",1
305, I don't know much about her. ,1, vice president ,1, I don't know him ,1, I don't know alot of them ,1
306, I don't know// I don't know what she does.// no ,1, vice president ,1, I don't know ,1, all these names I don't know ,1
307, I don't know.no ,1, I don't know. // no ,1, idon't know// no ,1, I don't know// no ,1
308, i don't know her ,1, I don't know ,1, I don't know him ,1, I don't know him ,1
309, I don't know// congress I don't know ,1, it's not vice president it's close to that ,1," I don't have an idea, never heard of him ",1, I don't know ,1
310," candidate's I can't remember, I saw her on Secretary of state I can't remember ",1, I heard this before but I can't remember ,1," I don't know, I haven't heard of him ",1, I don't know ,1
311, house speaker ,1, vice president ,1,  I don't know who it is // somebody in the house of representatives ,1, supreme court justice ,1
312,,-2,,-2,,-2,,-2
313, speaker of the house ,1, I don't know ,1, i don't know ,1, i don't know ,1
314,,-2,,-2,,-2,,-2
315,  I don't know ,1, vice president ,1, i don't know ,1, i don't know ,1
316, speaker of the house ,1, vice president ,1, no clue ,1, I am not going to guess not sure ,1
317, speaker of the house ,1, vice president ,1, don't know// never heard of him probably a representative ,1, I don't know I don't have a guess ,1
318, I don't know.// no guess ,1, vice president ,1, I have never heard of him ,1, I never heard ,1
319,,-2,,-2,,-2,,-2
320, i am not sure ,1, vice president ,1, i don't know ,1, i don't know ,1
321," i dont know, I don't know ",1, i don't pay attention to none of those guys// I don't know ,1, I don't know// i don't know ,1, I don't know what those people are who they are ,1
322,,-2,,-2,,-2,,-2
323, I don't know I am not really sure ,1," I am not sure, governor ",1, senator ,1, no no clue ,1
324, speaker of the house ,5, vice president ,5, no idea//no/no ,1, canidate in primary//senator maybe//don't know ,1
325, speaker of the house ,5, vice president of the u.s. ,5, don't know//don't know//no ,1, don't know//no idea//no ,1
326, don't know//political office//no ,1,     these questions make me what to research them//no ,1, don't know//democrat political ,1, don't know//democrat//no ,1
327, speaker of the house ,5, vice president ,5, don't know//no clue ,1, supreme court justice ,5
