survey,variable,topic,preamble,question,response_options,interviewer_instructions,modes,conditional,correct_answer,answer_basis,explicit_dk,dk_probe,dyt,wwys,wipo,n_options,dke_preamble,dkd_preamble,happen_to_know,self_placement_dk_filter,old_coding,notes
ANES 2012,DEFSPPR_DEFSPDPC,placement,"Some people believe that we should spend much less money for defense. Suppose these people are at one end of a scale, at point 1. Others feel that defense spending should be greatly increased. Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at points 2, 3, 4, 5 or 6.",Where would you place [preload: dem_pcname] on this issue?,1 Govt should decrease defense spending|2|3|4|5|6|7 Govt should increase defense spending,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,1-3 (decrease),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,DEFSPPR_DSPRERPC,placement,"Some people believe that we should spend much less money for defense. Suppose these people are at one end of a scale, at point 1. Others feel that defense spending should be greatly increased. Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at points 2, 3, 4, 5 or 6.",Where would you place [preload: rep_pcname] on this issue?,1 Govt should decrease defense spending|2|3|4|5|6|7 Govt should increase defense spending,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,5-7 (increase),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,DEFSPPR_DSPREDEM,placement,"Some people believe that we should spend much less money for defense. Suppose these people are at one end of a scale, at point 1. Others feel that defense spending should be greatly increased. Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at points 2, 3, 4, 5 or 6.",Where would you place the Democratic Party on this issue?,1 Govt should decrease defense spending|2|3|4|5|6|7 Govt should increase defense spending,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,1-3 (decrease),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,DEFSPPR_DSPREREP,placement,"Some people believe that we should spend much less money for defense. Suppose these people are at one end of a scale, at point 1. Others feel that defense spending should be greatly increased. Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at points 2, 3, 4, 5 or 6.",Where would you place the Republican Party on this issue?,1 Govt should decrease defense spending|2|3|4|5|6|7 Govt should increase defense spending,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,5-7 (increase),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,INSPRE_INSDPC,placement,"There is much concern about the rapid rise in medical and hospital costs. Some people feel there should be a government insurance plan which would cover all medical and hospital expenses for everyone. Suppose these people are at one end of a scale, at point 1. Others feel that all medical expenses should be paid by individuals through private insurance plans like Blue Cross or other company paid plans. Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at points 2, 3, 4, 5, or 6.",Where would you place [preload: dem_pcname] on this issue?,1 Govt insurance plan|2|3|4|5|6|7 Private insurance plan,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,1-3 (government plan),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,INSPRE_INSRPC,placement,"There is much concern about the rapid rise in medical and hospital costs. Some people feel there should be a government insurance plan which would cover all medical and hospital expenses for everyone. Suppose these people are at one end of a scale, at point 1. Others feel that all medical expenses should be paid by individuals through private insurance plans like Blue Cross or other company paid plans. Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at points 2, 3, 4, 5, or 6.",Where would you place [preload: rep_pcname] on this issue?,1 Govt insurance plan|2|3|4|5|6|7 Private insurance plan,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,5-7 (private plans),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,INSPRE_INSDEM,placement,"There is much concern about the rapid rise in medical and hospital costs. Some people feel there should be a government insurance plan which would cover all medical and hospital expenses for everyone. Suppose these people are at one end of a scale, at point 1. Others feel that all medical expenses should be paid by individuals through private insurance plans like Blue Cross or other company paid plans. Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at points 2, 3, 4, 5, or 6.",Where would you place the Democratic Party on this issue?,1 Govt insurance plan|2|3|4|5|6|7 Private insurance plan,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,1-3 (government plan),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,INSPRE_INSREP,placement,"There is much concern about the rapid rise in medical and hospital costs. Some people feel there should be a government insurance plan which would cover all medical and hospital expenses for everyone. Suppose these people are at one end of a scale, at point 1. Others feel that all medical expenses should be paid by individuals through private insurance plans like Blue Cross or other company paid plans. Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at points 2, 3, 4, 5, or 6.",Where would you place the Republican Party on this issue?,1 Govt insurance plan|2|3|4|5|6|7 Private insurance plan,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,5-7 (private plans),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,GUARPR_GUARDPC,placement,"Some people feel the government in Washington should see to it that every person has a job and a good standard of living. Suppose these people are at one end of a scale, at point 1. Others think the government should just let each person get ahead on their own. Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at points 2, 3, 4, 5, or 6.",Where would you place [preload: dem_pcname] on this issue?,1 Govt should see to jobs and standard of living|2|3|4|5|6|7 Govt should let each person get ahead on own,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,1-3 (government guarantee),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,GUARPR_GUARRPC,placement,"Some people feel the government in Washington should see to it that every person has a job and a good standard of living. Suppose these people are at one end of a scale, at point 1. Others think the government should just let each person get ahead on their own. Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at points 2, 3, 4, 5, or 6.",Where would you place [preload: rep_pcname] on this issue?,1 Govt should see to jobs and standard of living|2|3|4|5|6|7 Govt should let each person get ahead on own,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,5-7 (get ahead on own),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,GUARPR_GUARDEM,placement,"Some people feel the government in Washington should see to it that every person has a job and a good standard of living. Suppose these people are at one end of a scale, at point 1. Others think the government should just let each person get ahead on their own. Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at points 2, 3, 4, 5, or 6.",Where would you place the Democratic Party on this issue?,1 Govt should see to jobs and standard of living|2|3|4|5|6|7 Govt should let each person get ahead on own,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,1-3 (government guarantee),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,GUARPR_GUARREP,placement,"Some people feel the government in Washington should see to it that every person has a job and a good standard of living. Suppose these people are at one end of a scale, at point 1. Others think the government should just let each person get ahead on their own. Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at points 2, 3, 4, 5, or 6.",Where would you place the Republican Party on this issue?,1 Govt should see to jobs and standard of living|2|3|4|5|6|7 Govt should let each person get ahead on own,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,5-7 (get ahead on own),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,AIDBPR_AIDBDPC,placement,"Some people feel that the government in Washington should make every effort to improve the social and economic position of blacks. (Suppose these people are at one end of a scale, at point 1.) Others feel that the government should not make any special effort to help blacks because they should help themselves. (Suppose these people are at the other end, at point 7.) And, of course, some other people have opinions somewhere in between, at points 2, 3, 4, 5, or 6.",Where would you place [preload: dem_pcname] on this issue?,1 Govt should help blacks|2|3|4|5|6|7 Blacks should help themselves,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,1-3 (government help),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,AIDBPR_AIDBRPC,placement,"Some people feel that the government in Washington should make every effort to improve the social and economic position of blacks. (Suppose these people are at one end of a scale, at point 1.) Others feel that the government should not make any special effort to help blacks because they should help themselves. (Suppose these people are at the other end, at point 7.) And, of course, some other people have opinions somewhere in between, at points 2, 3, 4, 5, or 6.",Where would you place [preload: rep_pcname] on this issue?,1 Govt should help blacks|2|3|4|5|6|7 Blacks should help themselves,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,5-7 (help themselves),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,ENVJOB_ENVJOBDPC,placement,"Some people think the federal government needs to regulate business to protect the environment. They think that efforts to protect the environment will also create jobs. Let us say this is point 1 on a 1-7 scale. Others think that the federal government should not regulate business to protect the environment. They think this regulation will not do much to help the environment and will cost us jobs. Let us say this is point 7 on a 1-7 scale. And of course, some other people have opinions somewhere in between, at points 2,3,4,5, or 6.",Where would you place [preload: dem_pcname] on this scale?,1 Regulate business to protect the environment and create jobs|2|3|4|5|6|7 No regulation because it will not work and will cost jobs,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,1-3 (regulate),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,ENVJOB_ENVJOBRPC,placement,"Some people think the federal government needs to regulate business to protect the environment. They think that efforts to protect the environment will also create jobs. Let us say this is point 1 on a 1-7 scale. Others think that the federal government should not regulate business to protect the environment. They think this regulation will not do much to help the environment and will cost us jobs. Let us say this is point 7 on a 1-7 scale. And of course, some other people have opinions somewhere in between, at points 2,3,4,5, or 6.",Where would you place [preload: rep_pcname] on this scale?,1 Regulate business to protect the environment and create jobs|2|3|4|5|6|7 No regulation because it will not work and will cost jobs,{DO NOT PROBE DK},FTF interviewer (CAPI); web,,5-7 (no regulation),"Platform/record of the candidate or party; scored by side of the scale midpoint as in the old files (relative placement, Dem left of Rep, is the common alternative)",0,0,0,0,0,7,0,0,0,1,"old: dke_preamble = 1 (from the self-placement filter); n_options coded 2 (scored), presented 7","The preceding self-placement asks 'Where would you place yourself on this scale, or haven't you thought much about this?'; that filter is not repeated for this item."
ANES 2012,CANDREL_RELDPC,candidate fact,,"Now we would like to ask you some questions about the religion of the presidential candidates. Would you say that [preload: dem_pcname] is Protestant, Catholic, Jewish, Muslim, Mormon, some other religion, or is he not religious?",Protestant|Catholic|Jewish|Muslim|Mormon|Some other religion|Not religious,,FTF interviewer (CAPI); web,,Protestant,Obama is a member of a Protestant (United Church of Christ) tradition,0,0,0,1,0,7,0,0,0,0,,
ANES 2012,CANDREL_RELRPC,candidate fact,,"Would you say that [preload: rep_pcname] is Protestant, Catholic, Jewish, Muslim, Mormon, some other religion, or is he not religious?",Protestant|Catholic|Jewish|Muslim|Mormon|Some other religion|Not religious,,FTF interviewer (CAPI); web,,Mormon,Romney is a member of the Church of Jesus Christ of Latter-day Saints,0,0,0,1,0,7,0,0,0,0,,
ANES 2012,ENVIR_GWARM,scientific consensus,,"You may have heard about the idea that the world's temperature may have been going up slowly over the past 100 years. What is your personal opinion on this? Do you think this has probably been happening, or do you think it probably hasn't been happening?",Has probably been happening|Probably hasn't been happening,,FTF interviewer (CAPI); web,,Has probably been happening,IPCC AR4 (2007); NASA and NOAA temperature records,0,0,1,0,1,2,0,0,0,0,old: dyt = 0 (only 'What is your personal opinion' was recorded as the disguise text),
ANES 2012,ENVIR_GWHOW,scientific consensus,,"[Do / Assuming it's happening, do] you think a rise in the world's temperatures would be caused mostly by human activity, mostly by natural causes, or about equally by human activity and by natural causes?",Mostly by human activity|Mostly by natural causes|About equally by human activity and natural causes,,FTF interviewer (CAPI); web,,Mostly by human activity,IPCC AR4 (2007): most warming since the mid-20th century very likely due to human greenhouse gases,0,0,1,0,0,3,0,0,0,0,,
ANES 2012,PREKNOW_PRESTIMES,civics,,Do you happen to know how many times an individual can be elected President of the United States under current laws? PLEASE ENTER A NUMBER,(open: numeric entry),,FTF self-administered (CASI); web,,2,22nd Amendment,0,0,0,0,0,open,0,0,1,0,,
ANES 2012,PREKNOW_SIZEDEF,economic fact,,"Is the U.S. federal budget deficit - the amount by which the government's spending exceeds the amount of money it collects - now bigger, about the same, or smaller than it was during most of the 1990s?",Bigger|About the same|Smaller,,FTF self-administered (CASI); web,,Bigger,OMB historical tables: FY2012 deficit about $1.1 trillion versus at most about $0.3 trillion in the 1990s,0,0,0,0,0,3,0,0,0,0,,
ANES 2012,PREKNOW_SENTERM,civics,,"For how many years is a United States Senator elected - that is, how many years are there in one full term of office for a U.S. Senator? PLEASE ENTER A NUMBER",(open: numeric entry),,FTF self-administered (CASI); web,,6,"U.S. Constitution, Art. I, Sec. 3",0,0,0,0,0,open,0,0,0,0,,
ANES 2012,PREKNOW_MEDICARE,civics,,What is Medicare?,"A program run by the U.S. federal government to pay for old people's health care|A program run by state governments to provide health care to poor people|A private health insurance plan sold to individuals in all 50 states|A private, non-profit organization that runs free health clinics",,FTF self-administered (CASI); web,,A program run by the U.S. federal government to pay for old people's health care,"Social Security Act, Title XVIII",0,0,0,0,0,4,0,0,0,0,,
ANES 2012,PREKNOW_LEASTSP,economic fact,,On which of the following does the U.S. federal government currently spend the least?,Foreign aid|Medicare|National defense|Social Security,,FTF self-administered (CASI); web,,Foreign aid,OMB outlays by function,0,0,0,0,0,4,0,0,0,0,,
ANES 2012,OFCREC_KNSPK,office recognition,"Now we have a set of questions concerning various public figures. We want to see how much information about them gets out to the public from television, newspapers and the like.",The first name is: John Boehner. What job or political office does he now hold?,(open: text entry),"{PROBE DON'T KNOWS WITH, 'WELL, WHAT'S YOUR BEST GUESS?' IF R SAYS DK AFTER PROBING, WRITE 'DK' AS THE RESPONSE} [FTF only; the web instrument has no probe]",FTF interviewer (CAPI); web,,Speaker of the U.S. House of Representatives,Office held at fielding,0,1,0,0,0,open,0,0,0,0,old: dk_probe = 1 in the web row too; the probe is an FTF interviewer instruction,
ANES 2012,OFCREC_KNVP,office recognition,"Now we have a set of questions concerning various public figures. We want to see how much information about them gets out to the public from television, newspapers and the like.",Joe Biden. What job or political office does he now hold?,(open: text entry),"{PROBE DON'T KNOWS WITH, 'WELL, WHAT'S YOUR BEST GUESS?' IF R SAYS DK AFTER PROBING, WRITE 'DK' AS THE RESPONSE} [FTF only; the web instrument has no probe]",FTF interviewer (CAPI); web,,Vice President of the United States,Office held at fielding,0,1,0,0,0,open,0,0,0,0,old: dk_probe = 1 in the web row too; the probe is an FTF interviewer instruction,
ANES 2012,OFCREC_KNPM,office recognition,"Now we have a set of questions concerning various public figures. We want to see how much information about them gets out to the public from television, newspapers and the like.",David Cameron. What job or political office does he now hold?,(open: text entry),"{PROBE DON'T KNOWS WITH, 'WELL, WHAT'S YOUR BEST GUESS?' IF R SAYS DK AFTER PROBING, WRITE 'DK' AS THE RESPONSE} [FTF only; the web instrument has no probe]",FTF interviewer (CAPI); web,,Prime Minister of the United Kingdom,Office held at fielding,0,1,0,0,0,open,0,0,0,0,old: dk_probe = 1 in the web row too; the probe is an FTF interviewer instruction,
ANES 2012,OFCREC_KNCHJ,office recognition,"Now we have a set of questions concerning various public figures. We want to see how much information about them gets out to the public from television, newspapers and the like.",John Roberts. What job or political office does he now hold?,(open: text entry),"{PROBE DON'T KNOWS WITH, 'WELL, WHAT'S YOUR BEST GUESS?' IF R SAYS DK AFTER PROBING, WRITE 'DK' AS THE RESPONSE} [FTF only; the web instrument has no probe]",FTF interviewer (CAPI); web,,Chief Justice of the United States,Office held at fielding,0,1,0,0,0,open,0,0,0,0,old: dk_probe = 1 in the web row too; the probe is an FTF interviewer instruction,
ANES 2012,KNOWL_KNMEMHSE,civics,,Do you happen to know which party had the most members in the House of Representatives in Washington before the election [this/last] month?,Democrats|Republicans,{IF NECESSARY: WHICH ONE? DON'T PROBE DK},FTF interviewer (CAPI); web,,Republicans,112th Congress,0,0,0,0,0,2,0,0,1,0,,
ANES 2012,KNOWL_KNMEMSEN,civics,,Do you happen to know which party had the most members in the U.S. Senate before the election [this/last] month?,Democrats|Republicans,{IF NECESSARY: WHICH ONE? DON'T PROBE DK},FTF interviewer (CAPI); web,,Democrats,112th Congress,0,0,0,0,0,2,0,0,1,0,,
