rid,rkey,date,status,contact.id,comments,ip.address,long,lat,county,city,region,postal,url,url2,url3,url4,intro logic,agree,userid,user,time,page.logic1,Copy of userid,policy.placement,healthcare.law,imm.law,photo.nonphoto.pk,hr,ns,jn,hr2,jn2,ns2,page.logic,am1,mm1,mm2,am2,am11,am21,mm11,mm21,correct.or.conf,rg,sb,rg.rg,rg.ad,rg.jc,rg.ak,how.sure,sb.jb,sb.sb,sb.ks,sb.tv,health.ins.y,health.ins.r,health.ins.d,illegal.y,illegal.r,illegal.d,ideology.n,ideology,news.wsj,news.nyt,news.wp,news.usa,news.other,news.other.s,tv.cbs,tv.fox,tv.pbs,tv.nbc,tv.other,tv.abc,tv.others,cable.fox,cable.msnbc,cable.cspan,cable.bbc,cable.other,cable.cnn,cable.others,radio.npr,radio.rl,radio.ms,radio.other,radio.others,web.huff,web.drudge,web.portal,web.other,web.other.s,tv.days,attention,talk.politics,talk.other.politics,pid1,pid.other,pid2.r,pid2.d,pid2.other,therm.b,therm.r,therm.d,therm.w,therm.h,therm.l,therm.ill,open.closed,ww2.cas,fem.death,ww2.cas2,fem.death2,deport,deport.sure,imm,imm.sure,steagall,healthcare.pk1,healthbill,death.panel,medicare,future.increase,cuts.benefits,illegal,single.payer,upper.class,mammograms,tax.100k,welfare,blk.welfare,dkencouraging.dk.discouraging,reagan,clinton,wbush,reagan2,clinton2,wbush2,obama2,pol.interest,vote.2010,contribute1,contact,attend,def.party,def.other,healthcare.law2,imm.law2,structure,certain,oneside,changeview,confident,curiosity,considerate,independence,obedience
228,219178,9/9/2010 20:51,Complete,,,,,,United States,,CA,,,,,FY988813,,I agree to participate,FY988813,,38,,,end,,,nonphoto,Senator,French premier,cabinet member,,,,,German chancellor,Congressman,,,,,,,regular,Robert Gates,Stephen Breyer,,,,,,,,,,1,7,1,7,1,4,,Liberal,,NY Times,,,,,,,PBS,,,,,,,,,,CNN,,NPR,,,,,,,,,,7,A lot,5,2,Democrat,,,Strong,,70,40,70,70,70,70,60,closed,[Erstwhile] Soviet Union,Heart Disease,,,Question any person whom they suspect to be an illegal immigrant for their papers,5,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,7,Bill Clinton,Increases the Medicare payroll tax for upper‐income Americans,Limits future increases in payments to Medicare providers,,,,,,,,,20%,5%,20%,Branch B,,,,Increased,Decreased,Increased,Increased,8,10,10,10,7,Republicans,,10,0,2,6,4,4,4,1,2,2,7
227,219166,9/9/2010 20:51,Complete,,,,,,United States,,FL,,,,,FY978718,,I agree to participate,FY978718,,11,,,end,,,nonphoto,embattled senator,president of France,legal/security position in Obama admin - forget title,,,,,German head of state,politician ,,,,,,,percent,,,6,,,,,,8,,,1,6,3,6,1,5,,Very liberal,,,,,,,,,PBS,,,,,Fox News,MSNBC,CSPAN,BBC,,CNN,,,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,7,A lot,,7,Democrat,,,Strong,,75,40,80,75,75,75,60,open,,,German? do we count German jews?,heart or cancer,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",0,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,6,Don't Know,,,0,0,7,0,0,0,5,7,15%,5%,10%,Branch A,Don't Know,Decreased,Increased,,,,,8,10,8,6,6,Democrats,,8,0,5,3,5,2,2,2,1,2,6
226,219158,9/9/2010 20:34,Complete,,,,,,United States,,,,,,,FY970694,,I agree to participate,FY970694,,7,,,end,,,photo,,,,Senate Majority Leader,Secretary of Homeland Security,,,,,,Prime Minister of Germany,,,,Don't Know,percent,,,5,,,,,,5,,,1,7,4,6,1,3,,Very liberal,,,,, Other ,San Jose Mercury News,,,,,Other,,None,,,,, Others ,,None,,,, Others ,KPFA,Huffington Post,,,Other,"Salon, Alternet",0,Not at all,6,4,Democrat,,,Strong,,100,50,60,50,85,60,50,open,,,Soviet Union,Heart attack,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",5,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,7,Ronald Reagan,,,0,0,5,5,0,0,5,5,35%,3%,3%,Branch A,Increased,Decreased,Increased,,,,,10,10,10,10,10,Democrats,,8,0,3,5,6,5,4,4,2,4,4
225,219156,9/9/2010 20:45,Complete,,,,,,United States,,MO,,,,,FY963541,,I agree to participate,FY963541,,53,,,end,,,nonphoto,senate majority leader,,homeland security,,,,,white house social director,majority whip,,,,,,,percent,,,10,0,0,0,,5,5,5,5,7,5,1,1,2,7,,Slightly conservative,,,,USA Today,,,,Fox,,NBC,,,,,,,,,CNN,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,5,A moderate amount,4,6,Republican,,Strong,,,40,85,30,100,40,100,15,closed,Germany,Heart Disease,,,Deny aid to known illegal immigrants,8,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,8,Don't Know,,,8,2,5,3,8,2,7,2,35%,25%,35%,Branch A,Increased,Decreased,Increased,,,,,7,10,1,3,8,Republicans,,1,10,3,6,5,5,4,3,2,4,5
223,219149,9/9/2010 20:24,Complete,,,,,,United States,,TX,,,,,FY944717,,I agree to participate,FY944717,,20,,,start,7,5,nonphoto,Senate Majority Leader,President of France,Secretary of Homeland Security,,,,,President of Germany,Senate Minority Leader,,,,,,,regular,Arne Duncan,Stephen Breyer,,,,,,,,,,2,7,1,2,1,5,,Slightly liberal,,,,,,,,,,,,,,,,,,,,,NPR,,,,,,,,Other,"Houston Chronicle, BBC, Slate.com",0,Not at all,0,7,Independent,,,,Closer to Democratic Party,50,30,40,50,50,70,15,closed,[Erstwhile] Soviet Union,Heart Disease,,,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",2,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,8,Don't Know,Couldn't say,Couldn't say,,,,,,,,,20%,25%,15%,Branch A,Increased,Decreased,Increased,,,,,5,10,1,10,10,Other,libertarian,,,5,3,4,5,4,3,3,3,5
222,219144,9/9/2010 20:25,Complete,,,,,,United States,,HI,,,,,FY954744,,I agree to participate,FY954744,,23,,,end,,,nonphoto,,,attorney general,,,,,,,,,Don't Know,,Don't Know,,regular,Don't Know,Couldn't Say,,,,,,,,,,2,6,3,7,2,5,,Slightly liberal,,,,, Other ,"Sojourners, CNN, Google News",,,,,,,,,,,,,,,,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,A lot,6,6,Other,issues-based,,,,80,40,40,60,90,70,65,open,,,China,heart disease,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",4,Can  ask anyone they suspect of being an illegal immigrant for their papers,4,Don't Know,Couldn't say,Couldn't say,,,,,,,,,30%,2%,5%,Branch A,Don't Know,Don't Know,Don't Know,,,,,9,10,4,10,10,Other,bipartisan efforts,6,1,3,5,6,5,3,5,3,6,3
273,219611,9/10/2010 9:41,Complete,,,,,,United States,,PA,,,,,FY915175,,I agree to participate,FY915175,,38,,,end,,,photo,,,,,,chief of staff,,,,,,,Chancellor of Germany,,Senate Minority Leader,regular,Robert Gates,Stephen Breyer,,,,,,,,,,1,7,3,5,1,6,,Liberal,,NY Times,,, Other ,local paper,,,,,,,,,,,,,,,,,,,,,,,Other,yahoo,0,A moderate amount,5,6,Democrat,,,Strong,,40,16,60,50,50,50,40,closed,[Erstwhile] Soviet Union,Heart Disease,,,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",4,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,4,George H. Bush,Couldn't say,Limits future increases in payments to Medicare providers,,,,,,,,,33%,5%,40%,Branch B,,,,Increased,Remained the Same,Increased,Increased,8,10,9,1,9,Democrats,,7,2,3,7,6,5,5,1,1,3,6
272,219585,9/10/2010 9:18,Complete,,,,,,United States,,KS,,,,,FY904267,,I agree to participate,FY904267,,30,,,start,0,8,photo,,,,,Supreme Court,,,,,,,,Don't Know,,Don't Know,percent,,,0,0,10,0,,0,0,0,0,6,5,1,2,3,6,,Very conservative,,,Washington Post,, Other ,Local Paper,,,,,Other,,"I don't like any of these, only cable news",Fox News,MSNBC,CSPAN,,,CNN,,NPR,Rush Limbaugh,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,7,A moderate amount,5,4,Independent,,,,Closer to Republican Party,50,50,30,50,50,50,30,closed,Couldn't say,Don't Know,,,Question any person whom they suspect to be an illegal immigrant for their papers,8,Can  ask anyone they suspect of being an illegal immigrant for their papers,5,Don't Know,,,3,2,5,8,1,2,5,5,40%,1%,10%,Branch A,Increased,Decreased,Increased,,,,,8,10,5,5,3,Republicans,,,,4,5,3,3,2,4,4,4,4
271,219572,9/10/2010 9:13,Complete,,,,,,United Kingdom,,L1,,,,,FY936458,,I agree to participate,FY936458,,111,,,end,,,nonphoto,"Senator, Nevada","President, France","Secretary, Homeland Security",,,,,"Prime Minister, Germany",Senator?,,,,,,,percent,,,0,0,0,0,,,10,,,2,7,1,6,1,7,,Slightly liberal,Wall Street Journal,NY Times,,,,,,,PBS,,,,,,,,BBC,,CNN,,NPR,,,,,Huffington Post,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,A little,1,5,Independent,,,,Closer to Democratic Party,50,40,60,50,50,50,40,closed,Germany,Unintentional injuries,,,Question any person whom they suspect to be an illegal immigrant for their papers,8,Can  ask anyone they suspect of being an illegal immigrant for their papers,8,Bill Clinton,,,8,6,9,0,8,0,0,0,38%,2%,1%,Branch A,Increased,Decreased,Increased,,,,,8,10,0,0,0,Democrats,,10,0,2,1,5,4,2,1,1,1,7
270,219549,9/10/2010 8:54,Complete,,,,,,France,,B9,,,,,FY958154,,I agree to participate,FY958154,,25,,,start,10,0,nonphoto,,President of France,,,,,,Prime Minister of Germany,,,,,,Don't Know,,percent,,,8,0,0,0,,0,0,0,0,1,7,3,7,1,4,,Very liberal,,NY Times,Washington Post,,,,,,,,Other,,French TV,,,,,,CNN,,,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,7,A great deal,7,3,Democrat,,,Not very strong,,70,40,85,70,80,70,70,open,,,Germany,Breast cancer,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,8,George W. Bush,,,0,0,0,0,0,0,0,0,20%,5%,10%,Branch B,,,,Increased,Decreased,Increased,Remained the Same,10,0,0,0,5,Democrats,,,,2,1,7,4,5,1,1,4,5
268,219533,9/10/2010 8:23,Complete,,,,,,United States,,MA,,,,,FY925412,,I agree to participate,FY925412,,24,,,start,8,2,photo,,,,Majority Whip,Secretary of Homeland Security,Chief of Staff,,,,Senator,Supreme Court Justice,,,,,percent,,,7,2,0,0,,0,0,0,0,2,5,2,6,2,5,,Liberal,Wall Street Journal,NY Times,,,,,,,,,,,,,,,, Others ,,"the daily show, the colbert report",,,,,,,,,Other,Fark,4,A lot,1,5,Democrat,,,Not very strong,,80,41,75,80,80,75,40,open,,,Russia,traffic accidents,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,9,Don't Know,,,0,0,2,3,5,0,5,0,35%,20%,15%,Branch B,,,,Don't Know,Decreased,Increased,Increased,7,9,0,0,5,Don't Know,,,,2,5,5,3,2,2,2,2,6
297,220796,9/10/2010 17:20,Complete,,,,,,United States,,NY,,,,,FY956131,,I agree to participate,FY956131,,40,,,end,,,photo,,,,,,,,,,,,,Don't Know,,Don't Know,percent,,,0,0,0,0,,0,0,0,0,2,6,2,6,2,6,,Slightly liberal,,NY Times,,, Other ,"Atlantic Monthly, New Yorker",,,,NBC,,,,,,,,,,,,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,3,A moderate amount,6,4,Democrat,,,Strong,,50,15,70,50,50,50,40,open,,,,heart disease,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",1,Can  ask anyone they suspect of being an illegal immigrant for their papers,10,Ronald Reagan,,,0,0,5,0,0,0,5,5,25%,1%,3%,Branch B,,,,Increased,Decreased,Increased,Increased,6,10,9,10,9,Democrats,,9,0,6,6,3,5,5,2,1,3,6
296,220778,9/10/2010 17:09,Complete,,,,,,France,,A8,,,,,FY946844,,I agree to participate,FY946844,,15,,,start,7,1,nonphoto,Senate Majority Leader,President of France,Secretary of Homeland Security ,,,,,Chancellor of Germany,Senate Minority Leader,,,,,,,percent,,,2,2,2,0,,1,7,2,2,2,7,4,7,1,3,,Liberal,,NY Times,,,,,,,,,,,,,,,BBC,,CNN,,,,,,,Huffington Post,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,Not at all,5,3,Democrat,,,Strong,,40,15,70,70,50,70,40,open,,,Soviet Union,Heart disease,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",3,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,9,Bill Clinton,,,3,0,7,4,1,0,1,5,20%,10%,10%,Branch A,Increased,Decreased,Increased,,,,,9,9,0,0,8,Democrats,,,,2,5,2,2,3,2,2,2,6
295,220748,9/10/2010 17:36,Complete,,,,,,United States,,OR,,,,,FY931086,,I agree to participate,FY931086,,29,,,end,,,nonphoto,,,,,,,,,,,,Don't Know,,Don't Know,,percent,,,0,0,0,0,,0,0,0,0,4,5,1,5,2,6,,Slightly conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,,0,6,Republican,,Not very strong,,,85,85,85,85,85,85,70,closed,Germany,Heart Disease,,,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,5,Don't Know,,,3,5,6,5,5,2,8,5,28%,10%,10%,Branch B,,,,Increased,Increased,Increased,Increased,3,9,0,0,1,Republicans,, dk,4,3,5,5,4,5,4,3,5,3
294,220733,9/10/2010 16:39,Complete,,,,,,Italy,,20,,,,,FY977741,,I agree to participate,FY977741,,21,,,end,,,nonphoto,,President of France,,,,,,Prime Minister of Germany,,,,,,Don't Know,,regular,Robert Gates,Couldn't Say,,,,,,,,,,1,4,2,6,1,2,,Liberal,Wall Street Journal,,,,,,,,PBS,,,,,,,,BBC,,CNN,,,,,,,,,,,,7,A moderate amount,3,6,Independent,,,,Closer to Democratic Party,90,80,90,50,90,90,70,closed,Couldn't say,Don't Know,,,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",5,Couldn’t Say,,Don't Know,Increases the Medicare payroll tax for upper‐income Americans,Couldn't say,,,,,,,,,33%,14%,22%,Branch B,,,,Increased,Decreased,Increased,Increased,9,8,8,8,8,Democrats,,9,0,5,3,3,5,6,1,1,2,3
293,220729,9/10/2010 16:34,Complete,,,,,,United Kingdom,,U2,,,,,FY972040,,I agree to participate,FY972040,,24,,,start,8,1,photo,,,,Senate Majority Leader,cabinet secretary,President of France,,,,,Chancellor of Germany,,,,Don't Know,regular,Robert Gates,Stephen Breyer,,,,,,,,,,1,5,3,4,2,4,,Slightly liberal,,,,, Other ,Financial Times,,,,,Other,,BBC,,,,BBC,,,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,A lot,1,8,Democrat,,,Not very strong,,90,80,90,90,90,90,90,closed,[Erstwhile] Soviet Union,Heart Disease,,,Don’t Know,,Couldn’t Say,,Bill Clinton,Increases the Medicare payroll tax for upper‐income Americans,Limits future increases in payments to Medicare providers,,,,,,,,,30%,5%,20%,Branch A,Increased,Decreased,Increased,,,,,6,0,5,5,10,Democrats,,,,4,2,6,5,5,2,2,3,5
292,220728,9/10/2010 16:35,Complete,,,,,,Austria,,6,,,,,FY912192,,I agree to participate,FY912192,,64,,,start,9, dk,photo,,,,,Supreme Court,,,,,,German prime minister,,,,Don't Know,regular,Robert Gates,Couldn't Say,,,,,,,,,,2,7,1,5,2,5,,Very liberal,,,,, Other ,Guardian,,,,,Other,,BBC,,,,,,,,,,,,,,,,,,6,A lot,3,7,Democrat,,,Strong,,75,35,65,50,50,50,50,open,,,RUssia,heart disease,Deny aid to known illegal immigrants,5,Can  ask anyone they suspect of being an illegal immigrant for their papers,5,Ronald Reagan,Couldn't say,Limits future increases in payments to Medicare providers,,,,,,,,,20%,10%,20%,Branch B,,,,Increased,Decreased,Increased,Increased,8,0,7,2,1,Republicans,,,,3,4,7,6,3,1,2,1,6
