id,topic,pollingfirm,date,question,correct,incorrect,dk,noptions,explicitdk,matter.of.opinion,n,mode,lcongenial.options,rcongenial.options,correct.valence ,prompt.type ,inference,academic_comm,footnotes
22,Obama Religion,Princeton Survery Research Associates International (Pew Center for the People and the Press/Pew Forum on Religion and Public Life),07/21/10-08/05/10,"Now, thinking about Barak Obama's religious beliefs do you happen to know what Barack Obama's religion is?  Is he Christian, Jewish, Muslim, Buddhist, Hindu, athiest, agnostic, or something else?",34,21,45,10,Y,Y,3003,telephone,,,,DYHTK,N,1,dk (45%) = Don't know (43%) + Refused (2%) 
23,Obama Religion,Knowledge Networks (Associated Press),12/23/10-01/10/11,"Do you happen to know the religion of each of the following people? If you don't know, you can mark that too¡¦Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion¡¦Barack Obama",26,31,42,7,Y,Y,1037,online,,,,DYHTK,N,1,(1) total adds up to 99%.. (2) dk (42%) = Don't know (41%) + Refused/Not answered (1%) 
24,Obama Religion,Princeton Survey Research Associates International (Pew Research Center for People and the Press),03/09-12/09,"Now, thinking about Barack Obama's religious beliefs¡¦Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hindu, atheist, agnonistic, or something else? (If Don't know, probe:) Is that because you've heard of different things about his religion, or because you don't know enough about him?",48,11,40,11,Y,Y,1308,telephone,,,,DYHTK,N,1,dk (40%) = Don't know-Heard different things (12%) + Don't know-Haven't heard enough (22%) + Refused (6%) 
25,Obama Religion,Princeton Survey Research Associates International (Pew Research Center for People and the Press),10/16-19/08,"Now, thinking about Barack Obama's religious beliefs¡¦Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hindu, atheist, agnonistic, or something else? (If Don't know, probe:) Is that because you've heard of different things about his religion, or because you don't know enough about him?",51,13,36,10,Y,Y,3016,telephone,,,,DYHTK,N,1,dk (36%) = Don't know-Heard different things (13%) + Don't know-Haven't heard enough (20%) + Refused (3%) 
26,Obama Religion,CBS News/New York Times,10/10-13/08,"Do you know what Barack Obama's religion is? (If Yes, ask:) What religion is he?",26,17,57,7,Y,Y,1070,telephone,,,,DYK,N,1,
27,Obama Religion,Princeton Survey Research Associates International (Pew Research Center for People and the Press),09/09-14/08,"Now, thinking about Barack Obama's religious beliefs¡¦Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hindu, atheist, agnonistic, or something else? (If Don't know, probe:) Is that because you've heard of different things about his religion, or because you don't know enough about him?",48,17,35,11,Y,Y,2982,telephone,,,,DYHTK,N,1,dk (35%) = Don't know-heard different things (18%) + Don't know-haven't heard enough (15%) + Refused (2%) 
28,Obama Religion,Knowledge Networks (Associated Press/Yahoo),08/27/08-09/05/08,"Do you happen to know the religion of each of the following (2008 presidential election) candidates? If you don't know, you can mark that too¡¦Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion¡¦Barack Obama",36,24,39,7,Y,Y,2227,online,,,,DYHTK,N,1,dk (39%) = Don't know (38%) + Refused/Not answered (1%)
29,Obama Religion,Hart and Newhouse Research Companies (NBC News/Wall Street Journal),07/18-21/08,"Do you know what Barack Obama's religion is? (If Yes, ask:) What religion is he?",48,13,39,6,Y,Y,1074,telephone,,,,DYK,N,1,
30,Obama Religion,Princeton Survey Research Associates International (Newsweek),06/18-19/08,"As far as you know, what is (2008) Democratic presidential (election) candidate Barack Obama's religion? Is he a Christian, a Muslim, or something else?",61,20,19,4,Y,Y,1010,telephone,,,,AFYK,N,1,
31,Obama Religion,Princeton Survey Research Research Associates International (Pew Research Center for the People and the Press),06/18-29/08,"Now, thinking about Barack Obama's religious beliefs¡¦Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hindu, atheist, agnonistic, or something else? (If Don't know, probe:) Is that because you've heard of different things about his religion, or because you don't know enough about him?",57,15,28,11,Y,Y,2004,telephone,,,,DYHTK,N,1,dk (28%) = Don't know-Heard different things (10%) + Don't know-Haven't heard enough (15%) + Refused (3%) 
32,Obama Religion,Princeton Survey Research Associates International (Newsweek),05/21-22/08,"As far as you know, what is Barack Obama's religion? Is he a Christian, a Muslim, or something else?",58,20,22,4,Y,Y,1399,telephone,,,,AFYK,N,1,
33,Obama Religion,CBS News/New York Times,05/01-03/08,"Do you know what Barack Obama's religion is? (If Yes, ask:) What religion is he?",22,18,60,7,Y,Y,671,telephone,,,,DYK,N,1,
34,Obama Religion,Princeton Survey Research Associates International (Newsweek),04/24-25/08,"As far as you know, what is Barack Obama's religion? Is he a Christian, a Muslim, or something else?",52,22,26,4,Y,Y,1371,telephone,,,,AFYK,N,1,
35,Obama Religion,Knowledge Networkds (Associated Press/Yahoo),04/02-14/08,"(Do you happen to know the religion of each of the following (2008 presidential election) candidates? If you don't know, you can mark that too¡¦Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion)¡¦Barack Obama",27,27,46,8,Y,Y,1844,online,,,,DYHTK,N,1,dk (46%) = Don't know (44%) + Refused/Not answered (2%)
36,Obama Religion,Princeton Survey Research Associates International (Pew Research Center for People and the Press),03/19-22/08,"Now, thinking about Barack Obama's religious beliefs¡¦Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hindu, atheist, agnonistic, or something else? (If Don't know, probe:) Is that because you've heard of different things about his religion, or because you don't know enough about him?",47,13,40,11,Y,Y,1503,telephone,,,,DYHTK,N,1,dk (40%) = Don't know-Heard different things (10%) + Don't know-Haven't heard enough (27%) + Refused (3%) 
37,Obama Religion,Hart and McInturff Research Companies (NBC News/Wall Street Journal),03/07-10/08,"Do you know what Barack Obama's religion is? (If Yes, ask:) What religion is he?",37,19,44,6,Y,Y,1012,telephone,,,,DYK,N,1,
38,Obama Religion,CBS News,08/08-12/07,"Do you know what Barack Obama's religion is? (If Yes, ask:) What religion is he?",6,10,84,6,Y,Y,1214,telephone,,,,DYK,N,1,
39,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/06-13/15,"As you may know, the (2010 health reform) law requires nearly all Americans to have health insurance or else pay a fine when they file their taxes. As far as you know, did the requirement to report your health insurance status on your tax return take effect last year, that is for filing 2013 taxes, this year, that is for filing 2014 taxes, or does it take effect next year for 2015 taxes?",53,32,16,5,Y,Y,1503,telephone,,,,AFYK,N,1,
40,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/06-13/15,"(I'm going to read you a list of specific elements or parts of the law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the (2010) health reform law does or does not¡¦create health insurance exchanges or marketplaces where small businesses and people who don't get coverage through their employers can shop for insurance and compare prices and benefits?",66,25,8,3,Y,Y,1503,telephone,,,,TBYK,N,1,
41,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/06-13/15,"(I'm going to read you a list of specific elements or parts of the law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the (2010) health reform law does or does not¡¦provide financial help to low and moderate income Americans who don't get insurance through their jobs to help them purchase coverage?",65,29,6,3,Y,Y,1503,telephone,,,,TBYK,N,1,
42,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/06-13/15,"(I'm going to read you a list of specific elements or parts of the law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the (2010) health reform law does or does not¡¦give states the option of expanding their existing Medicaid program to cover more low-income, unisured adults?",60,25,15,3,Y,Y,1503,telephone,,,,TBYK,N,1,
43,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/06-13/15,"I'm going to read you a list of specific elements or parts of the law. For each, please tell me whether you think it is something the law does, or not. To the best of your knowledge, would you say the (2010) health reform law does or does not¡¦require nearly all Americans to have health insurance or else pay a fine?",81,14,5,3,Y,Y,1503,telephone,,,,TBYK,N,1,
44,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),01/15-21/15,"(I'm going to read you a list of specific elements or parts of the law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the (2010) health reform law does or does not¡¦require employers with 100 or more employees to pay a fine if they don't offer health insurance starting in January 2015?",67,19,13,3,Y,Y,1503,telephone,,,,TBYK,N,1,
45,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),01/15-21/15,"(I'm going to read you a list of specific elements or parts of the law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the (2010) health reform law does or does not¡¦provide financial help to low and moderate income Americans who don't get insurance through their jobs to help them purchase coverage?",63,30,6,3,Y,Y,1503,telephone,,,,TBYK,N,1,
46,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),01/15-21/15,"(I'm going to read you a list of specific elements or parts of the law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the (2010) health reform law does or does not¡¦create health insurance exchanges or marketplaces where small businesses and people who don't get coverage through their employers can shop for insurance and compare prices and benefits?",63,28,8,3,Y,Y,1503,telephone,,,,TBYK,N,1,
47,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),12/02-09/14,"I'm going to read you a list of specific elements or parts of the law. For each, please tell me whether you think it is something the law does, or not. To the best of your knowledge, would you say the health reform law does or does not¡¦require nearly all Americans to have health insurance or else pay a fine?",77,17,6,3,Y,Y,1505,telephone,,,,TBYK,N,1,
48,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),12/02-09/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦give states the option of expanding their existing Medicaid program to cover more low-income, uninsured adults?",62,27,11,3,Y,Y,1505,telephone,,,,TBYK,N,1,
49,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),12/02-09/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦provide financial help to low and moderate income Americans who don't get insurance through their jobs to help them purchase coverage?",67,26,8,3,Y,Y,1505,telephone,,,,TBYK,N,1,
50,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),12/02-09/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦require employers with 100 or more employees to pay a fine if they don't offer health insurance starting in January 2015?",69,16,15,3,Y,Y,1505,telephone,,,,TBYK,N,1,
51,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),12/02-09/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦create health insurance exchanges or marketplaces where small businesses and people who don't get coverage through their employers can shop for insurance and compare prices and benefits?",67,25,8,3,Y,Y,1505,telephone,,,,TBYK,N,1,
52,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),12/02-09/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦allow undocumented immigrants to receive financial help from the government to buy health insurance?",38,43,19,3,Y,Y,1505,telephone,,,,TBYK,N,1,
53,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),12/02-09/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦establish a government panel to make decisions about end-of-life care for people on Medicare?",41,41,19,3,Y,Y,1505,telephone,,,,TBYK,N,1,
54,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),10/08-14/14,"To the best of your knowledge, would you say the (2010) health reform law does or does not provide financial help to low and moderate income Americans who don't get insurance through their jobs to help them purchase coverage?",54,31,16,3,Y,Y,1503,telephone,,,,TBYK,N,1,
55,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦gradually close the Medicare prescription drug 'doughnut hole' or 'coverage gap' so people on Medicare will no longer be required to pay the full cost of their medications when they reach the gap?",40,34,26,3,Y,Y,1504,telephone,,,,TBYK,N,1,
56,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦eliminate out-of-pocket costs for many preventive services such as annual check-ups and cholesterol screenings?",43,38,18,3,Y,Y,1504,telephone,,,,TBYK,N,1,
57,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦allow undocumented immigrants to receive financial help from the government to buy health insurance?",32,46,22,3,Y,Y,1504,telephone,,,,TBYK,N,1,
58,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦allow young adults to stay on their parents' insurance plans until age 26?",71,18,11,3,Y,Y,1504,telephone,,,,TBYK,N,1,
59,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦increase the Medicare payroll tax on earnings for upper income Americans?",46,32,23,3,Y,Y,1504,telephone,,,,TBYK,N,1,
60,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦require insurance companies that spend too little money on health care services and too much on administrative costs and profits to give their customers a rebate?",44,37,19,3,Y,Y,1504,telephone,,,,TBYK,N,1,
61,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦establish a government panel to make decisions about end-of-life care for people on Medicare?",44,34,23,3,Y,Y,1504,telephone,,,,TBYK,N,1,
62,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not. To the best of your knowledge, would you say the health reform law does or does not¡¦require nearly all Americans to have health insurance or else pay a fine?",78,15,7,3,Y,Y,1504,telephone,,,,TBYK,N,1,
63,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦give states the option of expanding their existing Medicaid program to cover more low-income, uninsured adults?",60,25,15,3,Y,Y,1504,telephone,,,,TBYK,N,1,
64,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦provide financial help to low and moderate income Americans who don't get insurance through their jobs to help them purchase coverage?",63,28,9,3,Y,Y,1504,telephone,,,,TBYK,N,1,
65,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not¡¦prohibit insurance companies from denying coverage because of a person's medical history?",54,35,11,3,Y,Y,1504,telephone,,,,TBYK,N,1,
66,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),01/14-21/14,"I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not. First, to the best of your knowledge, would you say the health reform law does or does not¡¦require nearly all Americans to have health insurance or else pay a fine?",81,15,4,3,Y,Y,1506,telephone,,,,TBYK,N,1,
67,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),01/14-21/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) First, to the best of your knowledge, would you say the health reform law does or does not¡¦give states the option of expanding their existing Medicaid program to cover more low-income, uninsured adults?",58,27,15,3,Y,Y,1506,telephone,,,,TBYK,N,1,
68,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),01/14-21/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) First, to the best of your knowledge, would you say the health reform law does or does not¡¦prohibit insurance companies from denying coverage because of a person's medical history?",54,36,10,3,Y,Y,1506,telephone,,,,TBYK,N,1,
69,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),01/14-21/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) First, to the best of your knowledge, would you say the health reform law does or does not¡¦provide financial help to low and moderate income Americans who don't get insurance through their jobs to help them purchase coverage?",63,29,9,3,Y,Y,1506,telephone,,,,TBYK,N,1,
70,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),01/14-21/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) First, to the best of your knowledge, would you say the health reform law does or does not¡¦create health insurance exchanges or marketplaces where people who don't get coverage through their employers can shop for insurance and compare prices and benefits?",68,22,9,3,Y,Y,1506,telephone,,,,TBYK,N,1,
71,(stopped at 161/3685),,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,
,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),03/10-15/10,"As far as you know, has the independent Congressional Budget Office which analyzes the cost of legislation said the health reform legislation currently being discussed in Congress will (increase) the federal budget deficit over the next ten years, (decrease) the deficit over the next ten years, or is it not expected to have much impact on the deficit? (ROTATE OPTIONS IN PARENTHESES) ",14.49,75.66,9.85,3,N,Y,"1,208",,1,1,L,AFYK,N,1,
,Health Care,Princeton Survey Research Associates International (Kaiser Family Foundation),04/09-15/10,"As far as you know, has the independent Congressional Budget Office which analyzes the cost of legislation said the health reform law will (increase) the federal budget deficit over the next ten years, (decrease) the deficit over the next ten years, or is it not expected to have much impact on the deficit? (ROTATE OPTIONS IN PARENTHESES)",27.81,60.18,12,3,N,Y,"1,208",,1,1,L,AFYK,N,1,
,Health Care,Pew Research Center for the People & the Press,08/14-17/09,"From what you know, do you think it is true or not true that the health care (reform) legislation will create these so called 'death panels' (or government organizations that will make decisions about who will and will not receive health services when they are critically illl)?*",50,30,20,2,N,Y,"1,003",,0,1,N,AFYK,N,1,
,Health Care,Kaiser Family Foundation and the Harvard School of Public Health,1/4-14/11,"Do you think health care costs nationally are rising faster than the overall rate of inflation, slower than the overall rate of inflation, or at about the same rate?",63,33,4,3,N,Y,"1,502",,0,2,L,DYT,N,1,
,Iraq ,Princeton Survey Research Associates International (Newsweek),06/18-19/07,"Do you think Saddam Hussein’s regime in Iraq was DIRECTLY involved in planning, financing, or carrying out the terrorist attacks of September 11th, 2001, or not? ",53.53,37.26,9.39,2,N,Y,"1,001",,0,1,L,DYT,N,1,
,Iraq ,Princeton Survey Research Associates International (Newsweek),06/18-19/07,"To the best of your knowledge, has the U.S. found chemical or biological weapons hidden by Saddam Hussein’s regime since the Iraq war began in 2003, or not?",71.76,19.48,8.89,2,N,Y,"1,001",,0,1,L,TBYK,N,1,
,Iraq ,Princeton Survey Research Associates International (Newsweek),06/18-19/07,Which ONE of the following countries did most of the 9/11 hijackers come from?,49.35,38.46,12.19,4,N,N,"1,001",,0,1,N,N/A,N,1,
,Iraq ,Peter D. Hart and Robert M. Teeter (NBC News/Wall Street Journal),06/25-28/04,"Based on what you have learned, please tell me whether you believe each of the following is true or is not true. Iraq had weapons of mass destruction.",37.35,53.31,9.34,2,N,Y,"1,025",,0,1,L,BWYH,N,1,
,Iraq ,Peter D. Hart and Robert M. Teeter (NBC News/Wall Street Journal),06/25-28/04,"Based on what you have learned, please tell me whether you believe each of the following is true or is not true. Iraq was connected to the September eleventh terrorist attacks.",49.42,39.3,11.28,2,N,Y,"1,025",,0,1,L,BWYH,N,1,
,Iraq ,Princeton University Research Associates (Knight-Ridder),01/3-6/03,"As far as you know, does IRAQ now have Nuclear Weapons, or not?",26.58,38.29,35.13,2,N,Y,"1,204",,0,1,L,AFYK,N,1,
,Iraq ,Princeton University Research Associates (Knight-Ridder),01/3-6/03,"As far as you know, does IRAQ now have Chemical or biological weapons, or not?",9.63,62.54,27.82,2,N,Y,"1,204",,0,1,L,AFYK,N,1,
